user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
23746;ESP;0;184;73;32;12;21;40;39;42;37.57142857;2008;2008
23749;NOR;0;156;43;21;11;53;36;57;62;48.96226415;2009;2012
23750;CAN;0;180;68;32;2;267;44;49;62;49.25468165;2008;2013
23751;POL;0;175;68;35;9;91;40;49;53;43.56043956;2009;2017
23754;DEU;0;183;78;28;11;14;44;44;53;40.57142857;2008;2008
23759;USA;1;173;83;35;10;1;33;33;33;33;2009;2009
23760;DEU;0;189;88;51;28;34;51;46;51;42.58823529;2008;2011
23761;AUT;0;172;58;24;12;13;54;56;62;51;2008;2009
23762;FRA;0;170;58;27;11;171;49;66;68;55.98830409;2009;2016
23765;FIN;0;177;68;26;13;48;51;62;72;58.39583333;2008;2010
23766;ESP;0;174;73;39;26;232;62;62;68;51.17672414;1997;2014
23767;POL;0;180;78;34;11;272;49;53;62;48.57720588;2008;2017
23770;other;0;178;78;44;26;49;51;55;66;52.79591837;2008;2014
23772;ESP;0;174;78;38;14;309;36;42;53;41.61488673;2008;2017
23777;FRA;0;176;68;29;14;5;44;53;57;51.6;2008;2009
23779;HRV;0;187;78;40;13;37;55;46;57;50.32432432;2008;2012
23780;ITA;1;156;48;32;9;1;29;29;29;29;2008;2008
23786;SVN;0;176;73;29;16;12;38;38;44;37.5;2008;2010
23790;MEX;1;157;53;40;11;15;36;38;46;39.46666667;2008;2009
23792;RUS;0;180;78;39;9;46;36;40;51;39.89130435;2011;2017
23793;CAN;0;175;63;40;15;66;57;51;57;53;2008;2013
23794;MEX;0;169;63;50;29;7;59;61;62;58.85714286;2008;2010
23796;CHE;1;168;63;23;17;66;57;57;62;50.84848485;2008;2016
23797;ESP;0;177;73;32;13;161;44;64;65;54.39130435;2007;2012
23799;AUT;0;175;68;28;10;36;55;53;62;52.91666667;2009;2017
23802;POL;0;172;53;26;10;105;33;28;51;36.67619048;2008;2015
23805;DEU;0;171;63;41;25;35;70;68;75;69.57142857;2000;2004
23811;ESP;0;172;68;48;11;26;33;29;38;32.5;2010;2006
23813;ESP;0;173;63;36;13;37;44;40;46;38.54054054;2007;2009
23815;FRA;0;176;68;27;13;5;57;51;57;51.8;2008;2008
23830;ITA;0;180;68;32;16;1;62;62;62;62;2008;2008
23833;SWE;0;170;63;32;10;1;33;33;33;33;2009;2009
23834;DEU;0;174;63;32;18;40;59;55;62;55.25;2008;2010
23835;USA;0;182;73;31;14;9;49;51;57;51;2009;2013
23837;USA;0;180;58;27;10;5;45;53;53;47.8;2008;2009
